"Pair_of_PCs","Sum_p_values(F_statistics)","Variance(%)"
"PC6vsPC28",2.042514358111,4.3
"PC8vsPC14",2.05230064275054,4.2
"PC22vsPC23",2.05356721985381,1.2
"PC7vsPC22",2.05678476578556,3.8
"PC19vsPC25",2.06394396325796,1.3
"PC7vsPC27",2.07259914304256,3.6
"PC11vsPC25",2.0829196945687,2.1
"PC6vsPC19",2.0937338232197,4.7
"PC7vsPC28",2.09667061480641,3.6
"PC6vsPC8",2.10220951259995,6.8
"PC4vsPC14",2.10605766212199,8.8
"PC14vsPC15",2.11296392781328,2.4
"PC5vsPC24",2.12335707432115,5.1
"PC23vsPC27",2.12597966562182,1
"PC4vsPC5",2.1266369651176,12.1
"PC5vsPC19",2.13991401344243,5.4
"PC4vsPC6",2.15546054478958,11.4
"PC23vsPC28",2.17130085330232,1
"PC5vsPC11",2.17430932993492,6.2
"PC5vsPC15",2.17538517197305,5.7
"PC6vsPC11",2.18372609970939,5.5
"PC6vsPC24",2.20345322371189,4.4
"PC15vsPC25",2.21846686075922,1.6
"PC7vsPC24",2.24907252251924,3.7
"PC14vsPC25",2.25067339989002,1.8
"PC7vsPC8",2.25146459039438,6.1
"PC8vsPC23",2.2717110650634,3.5
"PC5vsPC14",2.27272741294694,5.9
"PC6vsPC15",2.27672876242076,5
"PC7vsPC19",2.27919923350791,4
"PC19vsPC23",2.30951962767278,1.4
"PC7vsPC11",2.31348684923936,4.8
"PC23vsPC24",2.31589819993452,1.1
"PC11vsPC23",2.33418498229037,2.2
"PC4vsPC7",2.33449403573863,10.7
"PC4vsPC23",2.35576964659418,8.1
"PC5vsPC25",2.36030475279914,5.1
"PC6vsPC14",2.3804558204388,5.2
"PC7vsPC15",2.38930738374276,4.3
"PC6vsPC25",2.44616551959149,4.4
"PC15vsPC23",2.44862186283423,1.7
"PC7vsPC14",2.46724161019332,4.5
"PC14vsPC23",2.51069314266668,1.9
"PC7vsPC25",2.52302541712956,3.7
"PC23vsPC25",2.5796098873165,1.1
"PC5vsPC6",2.6162092574573,8.5
"PC5vsPC7",2.64941929829636,7.8
"PC5vsPC23",2.7295389159107,5.2
"PC6vsPC7",2.73634245779338,7.1
"PC6vsPC23",2.79763309322573,4.5
"PC7vsPC23",2.87918303320238,3.8
